Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature,Feature Secondary Name
EPCAM,EPCAM,Antibody Capture,0.7965688647676581,0.0,0.0,286497506,67542.0345478733,4168,EPCAM
SDC1,SDC1,Antibody Capture,0.7661456303380589,0.0,0.0,41237117,10015.232997978861,4168,CD138
ENSG00000100867,DHRS2,Gene Expression,0.7640412271601699,0.0,0.0,20250,4.712778383483195,1575,
VIM,VIM,Antibody Capture,0.7592802926302505,0.0,0.0,151012125,38495.29942746889,4169,VIM
MS4A1,MS4A1,Antibody Capture,0.7582030594193923,0.0,0.0,32321406,7636.127550797168,4168,CD20
CXCR5,CXCR5,Antibody Capture,0.7483955112551116,0.0,0.0,24463297,5709.563485672227,4166,CXCR5
PAX5,PAX5,Antibody Capture,0.7306344331025151,0.0,0.0,12327499,2968.153253243397,4166,PAX5
ENSG00000141424,SLC39A6,Gene Expression,0.7299554609231108,0.0,0.0,182541,42.72392853455162,3760,
CD3E,CD3E,Antibody Capture,0.7175338357266178,0.0,0.0,234050523,54219.284871623284,4168,CD3E
ENSG00000198938,MT-CO3,Gene Expression,0.7131450480620829,0.0,0.0,507278,118.62866212351197,4149,
ENSG00000198899,MT-ATP6,Gene Expression,0.7077173481147818,0.0,0.0,161795,37.935686499470826,4038,
ENSG00000126709,IFI6,Gene Expression,0.7065257376854043,0.0,0.0,134799,31.726046025303763,4130,
ENSG00000166347,CYB5A,Gene Expression,0.7064043402532661,0.0,0.0,36700,8.612258257168,3217,
ENSG00000198840,MT-ND3,Gene Expression,0.7043547204796387,0.0,0.0,76024,17.875630028906986,3795,
ENSG00000160862,AZGP1,Gene Expression,0.7042114399075249,0.0,0.0,44422,10.4644156612684,2932,
KRT5,KRT5,Antibody Capture,0.6949881494725392,0.0,0.0,169525872,38759.36800571709,4168,PanCK
ENSG00000198727,MT-CYB,Gene Expression,0.6945442707724782,0.0,0.0,134259,31.457396684610742,4045,
ENSG00000198886,MT-ND4,Gene Expression,0.6922813796489461,0.0,0.0,264518,61.66866061174789,4128,
ENSG00000101443,WFDC2,Gene Expression,0.6920465198971715,0.0,0.0,18692,4.444535997460316,2338,
ACTA2,ACTA2,Antibody Capture,0.6906975700982346,0.0,0.0,77984809,20613.473350936605,4168,alphaSMA
ENSG00000156738,MS4A1,Gene Expression,0.6888261522027095,0.0,0.0,21590,4.837529433317374,2735,
ENSG00000134202,GSTM3,Gene Expression,0.6855159549388075,0.0,0.0,26420,6.173235728765456,2906,
ENSG00000106541,AGR2,Gene Expression,0.6852915392524501,0.0,0.0,21794,5.167610748218244,2647,
PCNA,PCNA,Antibody Capture,0.681953105061839,0.0,0.0,175754057,42249.01069768619,4169,PCNA
ENSG00000198712,MT-CO2,Gene Expression,0.6809173124091299,0.0,0.0,124014,28.748808046887568,3975,
ENSG00000160180,TFF3,Gene Expression,0.6806195010081444,0.0,0.0,27853,6.44249234607924,2565,
CD4,CD4,Antibody Capture,0.677887654138829,0.0,0.0,306125647,75556.25225955098,4169,CD4
ENSG00000160182,TFF1,Gene Expression,0.6775790631033345,0.0,0.0,47599,11.130765189938273,2946,
ENSG00000165949,IFI27,Gene Expression,0.6771955912799161,0.0,0.0,72033,16.975750498123247,3954,
ENSG00000198763,MT-ND2,Gene Expression,0.6748596263818005,0.0,0.0,65845,15.311609055385821,3732,
ENSG00000111341,MGP,Gene Expression,0.6744100934330736,0.0,0.0,292825,68.45340427733444,4105,
PTPRC_1,PTPRC,Antibody Capture,0.6703574852646829,0.0,0.0,115084514,28491.424406998507,4169,CD45RA
ENSG00000099194,SCD,Gene Expression,0.6695049010646227,0.0,0.0,38240,8.965111538602544,3208,
ENSG00000144331,ZNF385B,Gene Expression,0.6686937357986471,0.0,0.0,3997,0.9522220414160691,1256,
CD8A,CD8A,Antibody Capture,0.667929706758496,0.0,0.0,106939757,24894.13034741277,4168,CD8A
ENSG00000085831,TTC39A,Gene Expression,0.6649106078291951,0.0,0.0,17684,4.133654020069628,2566,
ENSG00000198888,MT-ND1,Gene Expression,0.6642526339404484,0.0,0.0,32050,7.441742094758575,3266,
PTPRC_2,PTPRC,Antibody Capture,0.6642389203913073,0.0,0.0,58715255,13844.251301567723,4169,CD45RO
ENSG00000224877,NDUFAF8,Gene Expression,0.6625729881557288,0.0,0.0,56682,13.272356871476353,3848,
HLA-DRA,HLA-DRA,Antibody Capture,0.6617838373185876,0.0,0.0,71999799,16443.857822985312,4167,HLA-DR
ENSG00000150593,PDCD4,Gene Expression,0.6595276344745223,0.0,0.0,85976,20.101096763942046,4082,
ENSG00000164961,WASHC5,Gene Expression,0.6594685414373186,0.0,0.0,48940,11.340952742042912,3430,
ENSG00000151892,GFRA1,Gene Expression,0.658398647269681,0.0,0.0,16171,3.79296797550696,2525,
ENSG00000182197,EXT1,Gene Expression,0.6583727971847023,0.0,0.0,51358,12.003322378365178,3630,
ENSG00000172551,MUCL1,Gene Expression,0.6554820138248859,0.0,0.0,20608,4.5443657525061205,1591,
ENSG00000134759,ELP2,Gene Expression,0.6552898192735098,0.0,0.0,71398,16.742089176992614,3859,
ENSG00000212907,MT-ND4L,Gene Expression,0.6529016217696163,0.0,0.0,100136,23.159613051498848,4012,
ENSG00000180694,TMEM64,Gene Expression,0.6499322264804607,0.0,0.0,28909,6.73621448385762,3224,
ENSG00000130303,BST2,Gene Expression,0.6497148677897101,0.0,0.0,57393,13.566941658201426,4035,
ENSG00000189058,APOD,Gene Expression,0.6494951988761847,0.0,0.0,27197,6.236174359293933,2756,
ENSG00000104341,LAPTM4B,Gene Expression,0.6489271472393635,0.0,0.0,25974,6.082858728365137,3084,
ENSG00000096696,DSP,Gene Expression,0.6466592708991727,0.0,0.0,56421,13.030818302571303,3402,
ENSG00000135549,PKIB,Gene Expression,0.6443977284085486,0.0,0.0,14563,3.4159887164076204,2443,
ENSG00000124171,PARD6B,Gene Expression,0.6441210656807111,0.0,0.0,20377,4.788029806796797,2835,
